A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,1.0,1.0,#,#,#,0.0,#,#,#,0.0,0.0,1.0,1.0,7,50.694896759585255,4969,2043,0.36363636363636365,0.0052186466594366975,188,188
#,1.0,0.0,#,1.0,0.0,#,#,#,0.0,1.0,0.0,1.0,1.0,1,55.053934426377,4905,2068,0.5454545454545454,0.0008096251140159983,46,46
1.0,0.0,#,#,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,11,58.05951176214817,4982,2075,0.36363636363636365,0.009392077651108468,179,179
1.0,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,3,60.22152377890907,4970,2124,0.36363636363636365,0.0026568595994307218,178,178
1.0,1.0,0.0,#,#,#,#,#,#,1.0,#,1.0,1.0,1.0,6,54.51138907241278,4981,2128,0.36363636363636365,0.0048098785366857575,179,179
0.0,0.0,#,#,0.0,#,#,#,0.0,1.0,1.0,0.0,0.16529662857527172,0.6976744186046512,1,47.100086819043035,4922,2140,0.5454545454545454,0.0006926555487514978,30,43
1.0,1.0,#,0.0,#,#,#,0.0,1.0,#,0.0,0.0,0.22059995870325735,0.7391304347826086,1,54.74917313212937,4955,2153,0.5454545454545454,0.0008051432836041707,34,46
#,0.0,0.0,1.0,1.0,1.0,1.0,1.0,#,#,0.0,1.0,1.0,1.0,1,65.667776,4758,2168,0.7272727272727273,0.0009657126449750055,10,10
0.0,#,#,1.0,1.0,#,1.0,#,#,1.0,#,1.0,0.4912154525337301,0.8674698795180723,1,50.537904664691055,4919,2220,0.45454545454545453,0.0007432122200275742,72,83
1.0,#,1.0,1.0,#,0.0,1.0,#,#,0.0,0.0,0.0,0.27550608968587587,0.7727272727272727,1,48.61174190655905,4809,2230,0.6363636363636364,0.0007148860021302601,17,22
